
여기서부터 글
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8000, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8001, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8002, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8003, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8004, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8005, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8006, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8007, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8008, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8009, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8010, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8011, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8012, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8013, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8014, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8015, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8016, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8017, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8018, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8019, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8020, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8021, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8022, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8023, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
